project_id,mode,route_id,direction_id,stop_id_from,stop_id_to,stop_name_from,stop_name_to,from_to,time_minutes,headway_min,frequency
1,trenes,35,1,190,79,J L Suárez,Chilavert,190_79,3,30,2
1,trenes,35,1,79,412,Chilavert,V. Ballester,79_412,3,30,2
1,trenes,35,1,412,249,V. Ballester,Malaver,412_249,2,30,2
1,trenes,35,1,249,353,Malaver,San Andrés,249_353,2,30,2
1,trenes,35,1,353,360,San Andrés,San Martín,353_360,3,30,2
1,trenes,35,1,360,271,San Martín,Miguelete,360_271,3,30,2
1,trenes,35,1,271,318,Miguelete,Pueyrredon,271_318,3,30,2
1,trenes,35,1,318,150,Pueyrredon,Gral. Urquiza,318_150,3,30,2
1,trenes,35,1,150,236,Gral. Urquiza,L. M. Drago,150_236,2,30,2
1,trenes,35,1,236,35,L. M. Drago,Belgrano R,236_35,4,30,2
1,trenes,35,1,35,91,Belgrano R,Colegiales,35_91,3,30,2
1,trenes,35,1,91,272,Colegiales,Mtro. Carranza,91_272,3,30,2
1,trenes,35,1,272,1,Mtro. Carranza,3 de Febrero,272_1,2,30,2
1,trenes,35,1,1,332,3 de Febrero,Retiro,1_332,7,30,2
2,trenes,25,0,93,48,PLAZA CONSTITUCION,BUENOS AIRES,93_48,3.969328838,14,4
2,trenes,25,0,48,525,BUENOS AIRES,DR. A. SÁENZ,48_525,4.98347312,14,4
2,trenes,25,0,525,427,DR. A. SÁENZ,VILLA SOLDATI,525_427,5.03,14,4
2,trenes,25,0,427,313,VILLA SOLDATI,PTE. ILLIA,427_313,3.04,14,4
2,trenes,25,0,313,422,PTE. ILLIA,LUGANO,313_422,3.94,14,4
2,trenes,25,0,422,424,LUGANO,VILLA MADERO,422_424,4.06,14,4
2,trenes,25,0,424,260,VILLA MADERO,MNOS. DEL FOURNIER,424_260,2.937669556,14,4
2,trenes,25,0,260,385,MNOS. DEL FOURNIER,TAPIALES,260_385,5.073831671,14,4
2,trenes,25,0,385,181,TAPIALES,ING. CASTELLO,385_181,2.922559423,14,4
2,trenes,25,0,181,321,ING. CASTELLO,QUERANDÍ,181_321,4.01208816,14,4
2,trenes,25,0,321,209,QUERANDÍ,LAFERRERE,321_209,6.01836723,14,4
2,trenes,25,0,209,256,LAFERRERE,MARÍA E. DUARTE,209_256,4.001516005,14,4
2,trenes,25,0,256,178,MARÍA E. DUARTE,PDA. INDEPENDENCIA,256_178,4,14,4
2,trenes,25,0,178,154,PDA. INDEPENDENCIA,GONZALEZ CATAN,178_154,4.145042105,14,4
2,trenes,25,1,154,178,GONZALEZ CATAN,PDA. INDEPENDENCIA,154_178,4.145042105,14,4
2,trenes,25,1,178,256,PDA. INDEPENDENCIA,MARÍA E. DUARTE,178_256,4,14,4
2,trenes,25,1,256,209,MARÍA E. DUARTE,LAFERRERE,256_209,4.001516005,14,4
2,trenes,25,1,209,321,LAFERRERE,QUERANDÍ,209_321,6.01836723,14,4
2,trenes,25,1,321,181,QUERANDÍ,ING. CASTELLO,321_181,4.01208816,14,4
2,trenes,25,1,181,385,ING. CASTELLO,TAPIALES,181_385,2.922559423,14,4
2,trenes,25,1,385,260,TAPIALES,MNOS. DEL FOURNIER,385_260,5.07,14,4
2,trenes,25,1,260,424,MNOS. DEL FOURNIER,VILLA MADERO,260_424,2.937669556,14,4
2,trenes,25,1,424,422,VILLA MADERO,LUGANO,424_422,4.06,14,4
2,trenes,25,1,422,313,LUGANO,PTE. ILLIA,422_313,3.94,14,4
2,trenes,25,1,313,427,PTE. ILLIA,VILLA SOLDATI,313_427,3.04,14,4
2,trenes,25,1,427,525,VILLA SOLDATI,DR. A. SÁENZ,427_525,5.034425457,14,4
2,trenes,25,1,525,48,DR. A. SÁENZ,BUENOS AIRES,525_48,4.98347312,14,4
2,trenes,25,1,48,93,BUENOS AIRES,PLAZA CONSTITUCION,48_93,3.969328838,14,4
2,trenes,21,0,93,48,PLAZA CONSTITUCION,BUENOS AIRES,93_48,3.978073024,14,4
2,trenes,21,0,48,121,BUENOS AIRES,DR. A. SÁENZ,48_121,4.98347312,14,4
2,trenes,21,0,121,427,DR. A. SÁENZ,VILLA SOLDATI,121_427,5.034425457,14,4
2,trenes,21,0,427,313,VILLA SOLDATI,PTE. ILLIA,427_313,3.04,14,4
2,trenes,21,0,313,422,PTE. ILLIA,LUGANO,313_422,3.94,14,4
2,trenes,21,0,422,424,LUGANO,VILLA MADERO,422_424,4.06,14,4
2,trenes,21,0,424,260,VILLA MADERO,MNOS. DEL FOURNIER,424_260,2.937669556,14,4
2,trenes,21,0,260,385,MNOS. DEL FOURNIER,TAPIALES,260_385,5.07,14,4
2,trenes,21,0,385,12,TAPIALES,ALDO BONZI,385_12,3.996527389,14,4
2,trenes,21,0,12,354,ALDO BONZI,M. S. MENDEVILLE,12_354,2.828298547,14,4
2,trenes,21,0,354,195,M. S. MENDEVILLE,JOSÉ INGENIEROS,354_195,3.12,14,4
2,trenes,21,0,195,203,JOSÉ INGENIEROS,JUSTO VILLEGAS,195_203,3.027291251,14,4
2,trenes,21,0,203,184,JUSTO VILLEGAS,ISIDRO CASANOVA,203_184,4.934878858,14,4
2,trenes,21,0,184,325,ISIDRO CASANOVA,RAFAEL CASTILLO,184_325,5.093018393,14,4
2,trenes,21,0,325,270,RAFAEL CASTILLO,MERLO GÓMEZ,325_270,3.086739323,14,4
2,trenes,21,0,270,232,MERLO GÓMEZ,LIBERTAD,270_232,5.840227695,14,4
2,trenes,21,0,232,259,LIBERTAD,M. C. G. BELGRANO,232_259,5.674762579,14,4
2,trenes,21,1,259,232,M. C. G. BELGRANO,LIBERTAD,259_232,5.674762579,14,4
2,trenes,21,1,232,270,LIBERTAD,MERLO GÓMEZ,232_270,5.840227695,14,4
2,trenes,21,1,270,325,MERLO GÓMEZ,RAFAEL CASTILLO,270_325,3.086739323,14,4
2,trenes,21,1,325,184,RAFAEL CASTILLO,ISIDRO CASANOVA,325_184,5.093018393,14,4
2,trenes,21,1,184,203,ISIDRO CASANOVA,JUSTO VILLEGAS,184_203,4.934878858,14,4
2,trenes,21,1,203,195,JUSTO VILLEGAS,JOSÉ INGENIEROS,203_195,3.027291251,14,4
2,trenes,21,1,195,354,JOSÉ INGENIEROS,M. S. MENDEVILLE,195_354,3.12,14,4
2,trenes,21,1,354,12,M. S. MENDEVILLE,ALDO BONZI,354_12,2.828298547,14,4
2,trenes,21,1,12,385,ALDO BONZI,TAPIALES,12_385,3.996527389,14,4
2,trenes,21,1,385,260,TAPIALES,MNOS. DEL FOURNIER,385_260,5.07,14,4
2,trenes,21,1,260,424,MNOS. DEL FOURNIER,VILLA MADERO,260_424,2.937669556,14,4
2,trenes,21,1,424,422,VILLA MADERO,LUGANO,424_422,4.06,14,4
2,trenes,21,1,422,313,LUGANO,PTE. ILLIA,422_313,3.94,14,4
2,trenes,21,1,313,427,PTE. ILLIA,VILLA SOLDATI,313_427,3.04,14,4
2,trenes,21,1,427,121,VILLA SOLDATI,DR. A. SÁENZ,427_121,5.034425457,14,4
2,trenes,21,1,121,48,DR. A. SÁENZ,BUENOS AIRES,121_48,4.98347312,14,4
2,trenes,21,1,48,93,BUENOS AIRES,PLAZA CONSTITUCION,48_93,3.978073024,14,4
3,trenes,9,0,332,1,Retiro,3 de Febrero,332_1,7,13,5
3,trenes,9,0,1,272,3 de Febrero,Mtro. Carranza,1_272,2,13,5
3,trenes,9,0,272,91,Mtro. Carranza,Colegiales,272_91,3,13,5
3,trenes,9,0,91,35,Colegiales,Belgrano R,91_35,3,13,5
3,trenes,9,0,35,236,Belgrano R,L. M. Drago,35_236,4,13,5
3,trenes,9,0,236,150,L. M. Drago,Gral. Urquiza,236_150,2,13,5
3,trenes,9,0,150,318,Gral. Urquiza,Pueyrredon,150_318,3,13,5
3,trenes,9,0,318,271,Pueyrredon,Miguelete,318_271,3,13,5
3,trenes,9,0,271,360,Miguelete,San Martín,271_360,3,13,5
3,trenes,9,0,360,353,San Martín,San Andrés,360_353,3,13,5
3,trenes,9,0,353,249,San Andrés,Malaver,353_249,2,13,5
3,trenes,9,0,249,412,Malaver,V. Ballester,249_412,2,13,5
3,trenes,9,0,412,79,V. Ballester,Chilavert,412_79,3,13,5
3,trenes,9,0,79,190,Chilavert,J L Suárez,79_190,3,13,5
3,trenes,9,1,190,79,J L Suárez,Chilavert,190_79,3,13,5
3,trenes,9,1,79,412,Chilavert,V. Ballester,79_412,3,13,5
3,trenes,9,1,412,249,V. Ballester,Malaver,412_249,2,13,5
3,trenes,9,1,249,353,Malaver,San Andrés,249_353,2,13,5
3,trenes,9,1,353,360,San Andrés,San Martín,353_360,3,13,5
3,trenes,9,1,360,271,San Martín,Miguelete,360_271,3,13,5
3,trenes,9,1,271,318,Miguelete,Pueyrredon,271_318,3,13,5
3,trenes,9,1,318,150,Pueyrredon,Gral. Urquiza,318_150,3,13,5
3,trenes,9,1,150,236,Gral. Urquiza,L. M. Drago,150_236,2,13,5
3,trenes,9,1,236,35,L. M. Drago,Belgrano R,236_35,4,13,5
3,trenes,9,1,35,91,Belgrano R,Colegiales,35_91,3,13,5
3,trenes,9,1,91,272,Colegiales,Mtro. Carranza,91_272,3,13,5
3,trenes,9,1,272,1,Mtro. Carranza,3 de Febrero,272_1,2,13,5
3,trenes,9,1,1,332,3 de Febrero,Retiro,1_332,7,13,5
3,trenes,35,0,412,29,V. Ballester,Bancalari,412_29,14,80,0.8
3,trenes,35,0,29,296,Bancalari,Gral Pacheco,29_296,4,80,0.8
3,trenes,35,0,296,37,GRAL. PACHECO,BENAVIDEZ,296_37,7,80,0.8
3,trenes,35,0,37,263,BENAVIDEZ,ING. MASCHWITZ,37_263,7,80,0.8
3,trenes,35,0,263,130,ING. MASCHWITZ,ESCOBAR,263_130,7,80,0.8
3,trenes,35,0,130,335,ESCOBAR,RIO LUJAN,130_335,13,80,0.8
3,trenes,35,0,335,294,RIO LUJAN,ING. OTAMENDI,335_294,8,80,0.8
3,trenes,35,0,294,55,ING. OTAMENDI,CAMPANA,294_55,11,80,0.8
3,trenes,35,0,55,204,CAMPANA,Kilometro 83,55_204,4,80,0.8
3,trenes,35,0,204,434,Kilometro 83,ZARATE,204_434,10,80,0.8
3,trenes,35,1,434,204,ZARATE,Kilometro 83,434_204,10,80,0.8
3,trenes,35,1,204,55,Kilometro 83,CAMPANA,204_55,4,80,0.8
3,trenes,35,1,55,294,CAMPANA,ING. OTAMENDI,55_294,11,80,0.8
3,trenes,35,1,294,335,ING. OTAMENDI,RIO LUJAN,294_335,8,80,0.8
