route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
1,3,38021231,Once,3802,1,2
1,3,38031131,Moreno,3803,0,1
1,3,38041231,Once,3804,1,2
1,3,38051131,Moreno,3805,0,1
1,3,38061231,Once,3806,1,2
1,3,38071131,Moreno,3807,0,1
1,3,38081231,Once,3808,1,2
1,3,38091131,Moreno,3809,0,1
1,3,38101231,Once,3810,1,2
1,3,38111131,Moreno,3811,0,1
1,3,38121231,Once,3812,1,2
1,3,38131131,Moreno,3813,0,1
1,3,38141231,Once,3814,1,2
1,3,38151131,Moreno,3815,0,1
1,3,38161231,Once,3816,1,2
1,3,38171131,Moreno,3817,0,1
1,3,38181231,Once,3818,1,2
1,3,38191131,Moreno,3819,0,1
1,3,38201231,Once,3820,1,2
1,3,38211131,Moreno,3821,0,1
1,3,38221231,Once,3822,1,2
1,3,38231131,Moreno,3823,0,1
1,3,38241231,Once,3824,1,2
1,3,38251131,Moreno,3825,0,1
1,3,38261231,Once,3826,1,2
1,3,38271131,Moreno,3827,0,1
1,3,38281231,Once,3828,1,2
1,3,38291131,Moreno,3829,0,1
1,3,38301231,Once,3830,1,2
1,3,38311131,Moreno,3831,0,1
1,3,38321231,Once,3832,1,2
1,3,38331131,Moreno,3833,0,1
1,3,38341231,Once,3834,1,2
1,3,38351131,Moreno,3835,0,1
1,3,38361231,Once,3836,1,2
1,3,38371131,Moreno,3837,0,1
1,3,38381231,Once,3838,1,2
1,3,38391131,Moreno,3839,0,1
1,3,38401231,Once,3840,1,2
1,3,38411131,Moreno,3841,0,1
1,3,38421231,Once,3842,1,2
1,3,38431131,Moreno,3843,0,1
1,3,38441231,Once,3844,1,2
1,3,38451131,Moreno,3845,0,1
1,3,38461231,Once,3846,1,2
1,3,38471131,Moreno,3847,0,1
1,3,38481231,Once,3848,1,2
1,3,38491131,Moreno,3849,0,1
1,3,38501231,Once,3850,1,2
1,3,38511131,Moreno,3851,0,1
1,3,38521231,Once,3852,1,2
1,3,38531131,Moreno,3853,0,1
1,3,38541231,Once,3854,1,2
1,3,38551131,Moreno,3855,0,1
1,3,38561231,Once,3856,1,2
1,3,38571131,Moreno,3857,0,1
1,3,38581231,Once,3858,1,2
1,3,38591131,Moreno,3859,0,1
1,3,38601231,Once,3860,1,2
1,3,38611131,Moreno,3861,0,1
1,3,38621231,Once,3862,1,2
1,3,38631131,Moreno,3863,0,1
1,3,38641231,Once,3864,1,2
1,3,38651131,Moreno,3865,0,1
1,3,38661231,Once,3866,1,2
1,3,38671131,Moreno,3867,0,1
1,3,38681231,Once,3868,1,2
1,3,38691131,Moreno,3869,0,1
1,3,38701231,Once,3870,1,2
1,3,38711131,Moreno,3871,0,1
1,3,38721231,Once,3872,1,2
1,3,38731131,Moreno,3873,0,1
1,3,38741231,Once,3874,1,2
1,3,38751131,Moreno,3875,0,1
1,3,38761231,Once,3876,1,2
1,3,38771131,Moreno,3877,0,1
1,3,38781231,Once,3878,1,2
1,3,38791131,Moreno,3879,0,1
1,3,38801231,Once,3880,1,2
1,3,38811131,Moreno,3881,0,1
1,3,38821231,Once,3882,1,2
1,3,38831131,Moreno,3883,0,1
1,3,38841231,Once,3884,1,2
1,3,38851131,Moreno,3885,0,1
1,3,38861231,Once,3886,1,2
1,3,38871131,Moreno,3887,0,1
1,3,38881231,Once,3888,1,2
1,3,38891131,Moreno,3889,0,1
1,3,38901231,Once,3890,1,2
1,3,38911131,Moreno,3891,0,1
1,3,38921231,Once,3892,1,2
1,3,38931131,Moreno,3893,0,1
1,3,38941231,Once,3894,1,2
1,3,38951131,Moreno,3895,0,1
1,3,38961231,Once,3896,1,2
1,3,38971131,Moreno,3897,0,1
1,3,38981231,Once,3898,1,2
1,3,38991131,Moreno,3899,0,1
1,3,39001231,Once,3900,1,2
1,3,39011131,Moreno,3901,0,1
1,3,39021231,Once,3902,1,2
1,3,39031131,Moreno,3903,0,1
1,3,39041231,Once,3904,1,2
1,3,39051131,Moreno,3905,0,1
1,3,39061231,Once,3906,1,2
1,3,39071131,Moreno,3907,0,1
1,3,39081231,Once,3908,1,2
1,3,39091131,Moreno,3909,0,1
1,3,39101231,Once,3910,1,2
1,3,39111131,Moreno,3911,0,1
1,3,39121231,Once,3912,1,2
1,3,39131131,Moreno,3913,0,1
1,3,39141231,Once,3914,1,2
1,3,39151131,Moreno,3915,0,1
1,3,39161231,Once,3916,1,2
1,3,39171131,Moreno,3917,0,1
1,3,39181231,Once,3918,1,2
1,3,39191131,Moreno,3919,0,1
1,3,39211131,Ituzaingó,3921,0,1
1,3,39231131,Ramos Mejía,3923,0,1
1,3,39251131,Caballito,3925,0,1
1,1,39911111,Moreno,3991,0,1
1,2,39911121,Moreno,3991,0,1
1,1,39931111,Merlo,3993,0,1
1,2,39931121,Merlo,3993,0,1
1,1,39951111,Castelar,3995,0,1
1,2,39951121,Castelar,3995,0,1
1,1,39971111,Ramos Mejía,3997,0,1
1,2,39971121,Ramos Mejía,3997,0,1
1,1,39991111,Caballito,3999,0,1
1,2,39991121,Caballito,3999,0,1
1,1,77051111,Moreno,7705,0,1
5,1,30005211,Retiro (LM),3000,1,6
5,2,30005221,Retiro (LM),3000,1,6
5,3,30005231,Retiro (LM),3000,1,6
5,1,30015111,Tigre,3001,0,5
5,2,30015121,Tigre,3001,0,5
5,3,30015131,Tigre,3001,0,5
5,1,30025211,Retiro (LM),3002,1,6
5,2,30025221,Retiro (LM),3002,1,6
5,3,30025231,Retiro (LM),3002,1,6
5,1,30035111,Tigre,3003,0,5
5,2,30035121,Tigre,3003,0,5
5,3,30035131,Tigre,3003,0,5
5,1,30045211,Retiro (LM),3004,1,6
5,2,30045221,Retiro (LM),3004,1,6
5,3,30045231,Retiro (LM),3004,1,6
5,1,30055111,Tigre,3005,0,5
5,2,30055121,Tigre,3005,0,5
5,3,30055131,Tigre,3005,0,5
5,1,30065211,Retiro (LM),3006,1,6
5,2,30065221,Retiro (LM),3006,1,6
5,3,30065231,Retiro (LM),3006,1,6
5,1,30075111,Tigre,3007,0,5
5,2,30075121,Tigre,3007,0,5
5,3,30075131,Tigre,3007,0,5
5,1,30085211,Retiro (LM),3008,1,6
5,2,30085221,Retiro (LM),3008,1,6
5,3,30085231,Retiro (LM),3008,1,6
5,1,30095111,Tigre,3009,0,5
5,2,30095121,Tigre,3009,0,5
5,3,30095131,Tigre,3009,0,5
5,1,30105211,Retiro (LM),3010,1,6
5,2,30105221,Retiro (LM),3010,1,6
5,3,30105231,Retiro (LM),3010,1,6
5,1,30115111,Tigre,3011,0,5
5,2,30115121,Tigre,3011,0,5
5,3,30115131,Tigre,3011,0,5
5,1,30125211,Retiro (LM),3012,1,6
5,2,30125221,Retiro (LM),3012,1,6
5,3,30125231,Retiro (LM),3012,1,6
5,1,30135111,Tigre,3013,0,5
5,2,30135121,Tigre,3013,0,5
5,3,30135131,Tigre,3013,0,5
5,1,30145211,Retiro (LM),3014,1,6
5,2,30145221,Retiro (LM),3014,1,6
5,3,30145231,Retiro (LM),3014,1,6
5,1,30155111,Tigre,3015,0,5
5,2,30155121,Tigre,3015,0,5
5,3,30155131,Tigre,3015,0,5
5,1,30165211,Retiro (LM),3016,1,6
5,2,30165221,Retiro (LM),3016,1,6
5,3,30165231,Retiro (LM),3016,1,6
5,1,30175111,Tigre,3017,0,5
5,2,30175121,Tigre,3017,0,5
5,3,30175131,Tigre,3017,0,5
5,1,30185211,Retiro (LM),3018,1,6
5,2,30185221,Retiro (LM),3018,1,6
5,3,30185231,Retiro (LM),3018,1,6
5,1,30195111,Tigre,3019,0,5
5,2,30195121,Tigre,3019,0,5
5,3,30195131,Tigre,3019,0,5
5,1,30205211,Retiro (LM),3020,1,6
5,2,30205221,Retiro (LM),3020,1,6
5,3,30205231,Retiro (LM),3020,1,6
5,1,30215111,Tigre,3021,0,5
5,2,30215121,Tigre,3021,0,5
5,3,30215131,Tigre,3021,0,5
5,1,30225211,Retiro (LM),3022,1,6
5,2,30225221,Retiro (LM),3022,1,6
5,3,30225231,Retiro (LM),3022,1,6
5,1,30235111,Tigre,3023,0,5
5,2,30235121,Tigre,3023,0,5
5,3,30235131,Tigre,3023,0,5
5,1,30245211,Retiro (LM),3024,1,6
5,2,30245221,Retiro (LM),3024,1,6
5,3,30245231,Retiro (LM),3024,1,6
5,1,30255111,Tigre,3025,0,5
5,2,30255121,Tigre,3025,0,5
5,3,30255131,Tigre,3025,0,5
5,1,30265211,Retiro (LM),3026,1,6
5,2,30265221,Retiro (LM),3026,1,6
5,3,30265231,Retiro (LM),3026,1,6
5,1,30275111,Tigre,3027,0,5
5,2,30275121,Tigre,3027,0,5
5,3,30275131,Tigre,3027,0,5
5,1,30285211,Retiro (LM),3028,1,6
5,2,30285221,Retiro (LM),3028,1,6
5,3,30285231,Retiro (LM),3028,1,6
5,1,30295111,Tigre,3029,0,5
5,2,30295121,Tigre,3029,0,5
5,3,30295131,Tigre,3029,0,5
5,1,30305211,Retiro (LM),3030,1,6
5,2,30305221,Retiro (LM),3030,1,6
5,3,30305231,Retiro (LM),3030,1,6
5,1,30315111,Tigre,3031,0,5
5,2,30315121,Tigre,3031,0,5
5,3,30315131,Tigre,3031,0,5
5,1,30325211,Retiro (LM),3032,1,6
5,2,30325221,Retiro (LM),3032,1,6
5,3,30325231,Retiro (LM),3032,1,6
5,1,30335111,Tigre,3033,0,5
5,2,30335121,Tigre,3033,0,5
5,3,30335131,Tigre,3033,0,5
5,1,30345211,Retiro (LM),3034,1,6
5,2,30345221,Retiro (LM),3034,1,6
5,3,30345231,Retiro (LM),3034,1,6
5,1,30355111,Tigre,3035,0,5
5,2,30355121,Tigre,3035,0,5
5,3,30355131,Tigre,3035,0,5
5,1,30365211,Retiro (LM),3036,1,6
5,2,30365221,Retiro (LM),3036,1,6
5,3,30365231,Retiro (LM),3036,1,6
5,1,30375111,Tigre,3037,0,5
5,2,30375121,Tigre,3037,0,5
5,3,30375131,Tigre,3037,0,5
5,1,30385211,Retiro (LM),3038,1,6
5,2,30385221,Retiro (LM),3038,1,6
5,3,30385231,Retiro (LM),3038,1,6
5,1,30395111,Tigre,3039,0,5
5,2,30395121,Tigre,3039,0,5
5,3,30395131,Tigre,3039,0,5
5,1,30405211,Retiro (LM),3040,1,6
5,2,30405221,Retiro (LM),3040,1,6
5,3,30405231,Retiro (LM),3040,1,6
5,1,30415111,Tigre,3041,0,5
5,2,30415121,Tigre,3041,0,5
5,3,30415131,Tigre,3041,0,5
5,1,30425211,Retiro (LM),3042,1,6
5,2,30425221,Retiro (LM),3042,1,6
5,3,30425231,Retiro (LM),3042,1,6
5,1,30435111,Tigre,3043,0,5
5,2,30435121,Tigre,3043,0,5
5,3,30435131,Tigre,3043,0,5
5,1,30445211,Retiro (LM),3044,1,6
5,2,30445221,Retiro (LM),3044,1,6
5,3,30445231,Retiro (LM),3044,1,6
5,1,30455111,Tigre,3045,0,5
5,2,30455121,Tigre,3045,0,5
5,3,30455131,Tigre,3045,0,5
5,1,30465211,Retiro (LM),3046,1,6
5,2,30465221,Retiro (LM),3046,1,6
5,3,30465231,Retiro (LM),3046,1,6
5,1,30475111,Tigre,3047,0,5
5,2,30475121,Tigre,3047,0,5
5,3,30475131,Tigre,3047,0,5
5,1,30485211,Retiro (LM),3048,1,6
5,2,30485221,Retiro (LM),3048,1,6
5,3,30485231,Retiro (LM),3048,1,6
5,1,30495111,Tigre,3049,0,5
5,2,30495121,Tigre,3049,0,5
5,3,30495131,Tigre,3049,0,5
5,1,30505211,Retiro (LM),3050,1,6
5,2,30505221,Retiro (LM),3050,1,6
5,3,30505231,Retiro (LM),3050,1,6
5,1,30515111,Tigre,3051,0,5
5,2,30515121,Tigre,3051,0,5
5,3,30515131,Tigre,3051,0,5
5,1,30525211,Retiro (LM),3052,1,6
5,2,30525221,Retiro (LM),3052,1,6
5,3,30525231,Retiro (LM),3052,1,6
5,1,30535111,Tigre,3053,0,5
5,2,30535121,Tigre,3053,0,5
5,3,30535131,Tigre,3053,0,5
5,1,30545211,Retiro (LM),3054,1,6
5,2,30545221,Retiro (LM),3054,1,6
5,3,30545231,Retiro (LM),3054,1,6
5,1,30555111,Tigre,3055,0,5
5,2,30555121,Tigre,3055,0,5
5,3,30555131,Tigre,3055,0,5
5,1,30565211,Retiro (LM),3056,1,6
5,2,30565221,Retiro (LM),3056,1,6
5,3,30565231,Retiro (LM),3056,1,6
5,1,30575111,Tigre,3057,0,5
5,2,30575121,Tigre,3057,0,5
5,3,30575131,Tigre,3057,0,5
5,1,30585211,Retiro (LM),3058,1,6
5,2,30585221,Retiro (LM),3058,1,6
5,3,30585231,Retiro (LM),3058,1,6
5,1,30595111,Tigre,3059,0,5
5,2,30595121,Tigre,3059,0,5
5,3,30595131,Tigre,3059,0,5
5,1,30605211,Retiro (LM),3060,1,6
5,2,30605221,Retiro (LM),3060,1,6
5,3,30605231,Retiro (LM),3060,1,6
5,1,30615111,Tigre,3061,0,5
5,2,30615121,Tigre,3061,0,5
5,3,30615131,Tigre,3061,0,5
5,1,30625211,Retiro (LM),3062,1,6
5,2,30625221,Retiro (LM),3062,1,6
5,3,30625231,Retiro (LM),3062,1,6
5,1,30635111,Tigre,3063,0,5
5,2,30635121,Tigre,3063,0,5
5,3,30635131,Tigre,3063,0,5
5,1,30645211,Retiro (LM),3064,1,6
5,2,30645221,Retiro (LM),3064,1,6
5,3,30645231,Retiro (LM),3064,1,6
5,1,30655111,Tigre,3065,0,5
5,2,30655121,Tigre,3065,0,5
5,3,30655131,Tigre,3065,0,5
5,1,30665211,Retiro (LM),3066,1,6
5,2,30665221,Retiro (LM),3066,1,6
5,3,30665231,Retiro (LM),3066,1,6
5,1,30675111,Tigre,3067,0,5
5,2,30675121,Tigre,3067,0,5
5,3,30675131,Tigre,3067,0,5
5,1,30685211,Retiro (LM),3068,1,6
5,2,30685221,Retiro (LM),3068,1,6
5,3,30685231,Retiro (LM),3068,1,6
5,1,30695111,Tigre,3069,0,5
5,2,30695121,Tigre,3069,0,5
5,3,30695131,Tigre,3069,0,5
5,1,30705211,Retiro (LM),3070,1,6
5,2,30705221,Retiro (LM),3070,1,6
5,3,30705231,Retiro (LM),3070,1,6
5,1,30715111,Tigre,3071,0,5
5,2,30715121,Tigre,3071,0,5
5,3,30715131,Tigre,3071,0,5
5,1,30725211,Retiro (LM),3072,1,6
5,2,30725221,Retiro (LM),3072,1,6
5,3,30725231,Retiro (LM),3072,1,6
5,1,30735111,Tigre,3073,0,5
5,2,30735121,Tigre,3073,0,5
5,3,30735131,Tigre,3073,0,5
5,1,30745211,Retiro (LM),3074,1,6
5,2,30745221,Retiro (LM),3074,1,6
5,3,30745231,Retiro (LM),3074,1,6
5,1,30755111,Tigre,3075,0,5
5,2,30755121,Tigre,3075,0,5
5,3,30755131,Tigre,3075,0,5
5,1,30765211,Retiro (LM),3076,1,6
5,2,30765221,Retiro (LM),3076,1,6
5,3,30765231,Retiro (LM),3076,1,6
5,1,30775111,Tigre,3077,0,5
5,2,30775121,Tigre,3077,0,5
5,3,30775131,Tigre,3077,0,5
5,1,30785211,Retiro (LM),3078,1,6
5,2,30785221,Retiro (LM),3078,1,6
5,3,30785231,Retiro (LM),3078,1,6
5,1,30795111,Tigre,3079,0,5
5,2,30795121,Tigre,3079,0,5
5,3,30795131,Tigre,3079,0,5
5,1,30805211,Retiro (LM),3080,1,6
5,2,30805221,Retiro (LM),3080,1,6
5,3,30805231,Retiro (LM),3080,1,6
5,1,30815111,Tigre,3081,0,5
5,2,30815121,Tigre,3081,0,5
5,3,30815131,Tigre,3081,0,5
5,1,30825211,Retiro (LM),3082,1,6
5,2,30825221,Retiro (LM),3082,1,6
5,3,30825231,Retiro (LM),3082,1,6
5,1,30835111,Tigre,3083,0,5
5,2,30835121,Tigre,3083,0,5
5,3,30835131,Tigre,3083,0,5
5,1,30845211,Retiro (LM),3084,1,6
5,2,30845221,Retiro (LM),3084,1,6
5,3,30845231,Retiro (LM),3084,1,6
5,1,30855111,Tigre,3085,0,5
