stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
6861116940,,"ESPAÑA 3720",,-34.507743,-58.50719,,,,,America/Argentina/Buenos_Aires,
6371127491,,"LACROZE 6191",,-34.584494,-58.570718,,,,,America/Argentina/Buenos_Aires,
6410127961,,"INTENDENTE CARLOS RATTI 3845",,-34.633525,-58.705925,,,,,America/Argentina/Buenos_Aires,
6539100808,,"AVENIDA PATRICIOS 4099-4199",,-34.689892,-58.68883,,,,,America/Argentina/Buenos_Aires,
202714,,"2004 YRIGOYEN HIPOLITO",,-34.610539,-58.394956,,,,,America/Argentina/Buenos_Aires,
6515123616,,"LUIS MARÍA DRAGO Y TIERRA DEL FUEGO",,-34.468344,-58.754587,,,,,America/Argentina/Buenos_Aires,
6658108498,,"MAIPÚ 1150-1184",,-34.704802,-58.299372,,,,,America/Argentina/Buenos_Aires,
6441110861,,"AVENIDA 13_CALLE 57",,-34.924078,-57.951091,,,,,America/Argentina/Buenos_Aires,
6427108679,,"CORONEL TERRADA 4000-4048",,-34.696435,-58.561092,,,,,America/Argentina/Buenos_Aires,
6434101198,,"REMEDIOS DE ESCALADA DE SAN MARTÍN 501-599",,-34.663468,-58.417387,,,,,America/Argentina/Buenos_Aires,
6410117127,,"BACACAY 600-648",,-34.649205,-58.667422,,,,,America/Argentina/Buenos_Aires,
6490116783,,"PRESBITERO JOSÉ MALABIA 501-599",,-34.736835,-58.387785,,,,,America/Argentina/Buenos_Aires,
6434119866,,"ITUZAINGÓ 2001-2099",,-34.713344,-58.380733,,,,,America/Argentina/Buenos_Aires,
6371126247,,"RODRÍGUEZ PEÑA 4516",,-34.591262,-58.532414,,,,,America/Argentina/Buenos_Aires,
203309,,"1061 PUEYRREDON AV.",,-34.597898,-58.403573,,,,,America/Argentina/Buenos_Aires,
6756128416,,"NICOLÁS AVELLANEDA 1314",,-34.475444,-58.535855,,,,,America/Argentina/Buenos_Aires,
6658127572,,"AV. FERROCARRIL PROVINCIAL 4700-4798",,-34.783523,-58.31363,,,,,America/Argentina/Buenos_Aires,
204946,,"3583 CONGRESO AV.",,-34.561655,-58.474589,,,,,America/Argentina/Buenos_Aires,
201587,,"2239 ALVAREZ JONTE",,-34.605649,-58.474585,,,,,America/Argentina/Buenos_Aires,
201075,,"3904 OLLEROS",,-34.584933,-58.452398,,,,,America/Argentina/Buenos_Aires,
202285,,"2914 MOSCONI GENERAL AV.",,-34.586388,-58.502391,,,,,America/Argentina/Buenos_Aires,
691129960,,"CALLE 29 4857",,-34.775407,-58.197336,,,,,America/Argentina/Buenos_Aires,
6408131781,,"GENERAL ALFREDO RODRÍGUEZ 1600-1698",,-34.601271,-58.625729,,,,,America/Argentina/Buenos_Aires,
6427101206,,"MARTÍN UGARTE 749",,-34.700167,-58.490039,,,,,America/Argentina/Buenos_Aires,
6434103368,,"PRES. TTE. GRAL. JUAN DOMINGO PERÓN 3299",,-34.669491,-58.411513,,,,,America/Argentina/Buenos_Aires,
6427108933,,"AVENIDA INTENDENTE ESTEBAN CROVARA 2400-2498",,-34.687502,-58.522065,,,,,America/Argentina/Buenos_Aires,
6805122606,,"GRAL. CONESA 2900-2964",,-34.416509,-58.681623,,,,,America/Argentina/Buenos_Aires,
628109771,,"JUAN CARLOS CASTAGNINO 1202-1300",,-34.823713,-58.403313,,,,,America/Argentina/Buenos_Aires,
6371101397,,"AVENIDA 101 DOCTOR RICARDO BALBÍN 6457-6499",,-34.562595,-58.590728,,,,,America/Argentina/Buenos_Aires,
6658110091,,"AVENIDA 12 DE OCTUBRE 1599-1699",,-34.735393,-58.275393,,,,,America/Argentina/Buenos_Aires,
2033265,,"963 VIEYTES",,-34.643597,-58.379348,,,,,America/Argentina/Buenos_Aires,
6658117202,,"AVENIDA SAN MARTÍN 800-898",,-34.760858,-58.301387,,,,,America/Argentina/Buenos_Aires,
6441110597,,"AVENIDA 72_CALLE 15",,-34.938698,-57.935444,,,,,America/Argentina/Buenos_Aires,
202254,,"4014 COSTA RICA",,-34.591552,-58.419396,,,,,America/Argentina/Buenos_Aires,
2012,,"669 REGIMIENTO DE PATRICIOS AV.",,-34.636186,-58.369851,,,,,America/Argentina/Buenos_Aires,
207108,,"2291 INDEPENDENCIA AV.",,-34.618507,-58.398768,,,,,America/Argentina/Buenos_Aires,
6539124647,,"HELVECIA 1799-1899",,-34.693641,-58.664741,,,,,America/Argentina/Buenos_Aires,
6539129152,,"ESCOBAR 2099-2199",,-34.702287,-58.683041,,,,,America/Argentina/Buenos_Aires,
6805121232,,"AVENIDA SANTA MARÍA DE LAS CONCHAS 5200-5288",,-34.40427,-58.627365,,,,,America/Argentina/Buenos_Aires,
6371129865,,"INTENDENTE WITCOMB 2600-2698",,-34.55113,-58.550864,,,,,America/Argentina/Buenos_Aires,
2032010,,"36 ROSARIO",,-34.618357,-58.429072,,,,,America/Argentina/Buenos_Aires,
6749102583,,"AVENIDA NICOLÁS AVELLANEDA 2825",,-34.45607,-58.562932,,,,,America/Argentina/Buenos_Aires,
635111670,,"GENERAL ARREDONDO 4086",,-34.695815,-58.345521,,,,,America/Argentina/Buenos_Aires,
6756128585,,"INTENDENTE TOMKINSON 2459-2499",,-34.478021,-58.548687,,,,,America/Argentina/Buenos_Aires,
6427134910,,"RUTA",,-34.809829,-58.636272,,,,,America/Argentina/Buenos_Aires,
6410126034,,"AVENIDA RIVADAVIA 22202-22300",,-34.66195,-58.673051,,,,,America/Argentina/Buenos_Aires,
6371123462,,"AVENIDA PRESIDENTE JUAN DOMINGO PERÓN 5001-5091",,-34.581277,-58.554051,,,,,America/Argentina/Buenos_Aires,
6568133652,,"CORONEL MARTÍN P. DE LACARRA 2102-2200",,-34.668335,-58.660347,,,,,America/Argentina/Buenos_Aires,
6434113836,,"14 DE JULIO 3543-3599",,-34.71333,-58.403997,,,,,America/Argentina/Buenos_Aires,
2031885,,"4892 GORDILLO TIMOTEO",,-34.685382,-58.473201,,,,,America/Argentina/Buenos_Aires,
6408127700,,"DOLORES DE HUICI 2799-2899",,-34.583866,-58.652334,,,,,America/Argentina/Buenos_Aires,
628103228,,"RUTA PROVINCIAL 210 1667-1675",,-34.862685,-58.38879,,,,,America/Argentina/Buenos_Aires,
205961,,"897 CAMARGO",,-34.59733,-58.443581,,,,,America/Argentina/Buenos_Aires,
6441120393,,"CALLE 12_AVENIDA 66",,-34.930635,-57.939811,,,,,America/Argentina/Buenos_Aires,
6427113894,,"BERÓN DE ASTRADA 3799-3899",,-34.675853,-58.544983,,,,,America/Argentina/Buenos_Aires,
6410116318,,"MARTÍN FIERRO 4645",,-34.615409,-58.707876,,,,,America/Argentina/Buenos_Aires,
691105430,,"CAMINO GENERAL BELGRANO 1417-1499",,-34.7859,-58.25317,,,,,America/Argentina/Buenos_Aires,
6760103824,,"AVENIDA RICARDO BALBÍN 2968-3000",,-34.556351,-58.727083,,,,,America/Argentina/Buenos_Aires,
6329113588,,"AVENIDA COLÓN Y MORENO",,-34.931515,-58.952354,,,,,America/Argentina/Buenos_Aires,
204668,,"3077 CRAMER AV.",,-34.556212,-58.468675,,,,,America/Argentina/Buenos_Aires,
6408115840,,"MOISÉS LEBENSOHN 4317-4399",,-34.617778,-58.652331,,,,,America/Argentina/Buenos_Aires,
6274109324,,"AVENIDA GUILLERMO HUDSON 2722",,-34.833038,-58.241149,,,,,America/Argentina/Buenos_Aires,
6658131159,,"AVENIDA GENERAL MOSCONI 31",,-34.731428,-58.303317,,,,,America/Argentina/Buenos_Aires,
6427119469,,"AVENIDA LURO 4664",,-34.737913,-58.600884,,,,,America/Argentina/Buenos_Aires,
6434117816,,"BRASIL 3201",,-34.666456,-58.407257,,,,,America/Argentina/Buenos_Aires,
6749134520,,"AVENIDA DEL LIBERTADOR GENERAL SAN MARTÍN 3599-3699",,-34.45208,-58.528062,,,,,America/Argentina/Buenos_Aires,
6515110274,,"COLECTORA ESTE RAMAL PILAR",,-34.456314,-58.722214,,,,,America/Argentina/Buenos_Aires,
6490105173,,"COLECTORA CAMINO DE CINTURA 30",,-34.790252,-58.450517,,,,,America/Argentina/Buenos_Aires,
